head	relation	tail
LINC00114	expression association	miR-203
LINC01503	transcriptional regulation	CTNNB1
linc-cdh4-2	interact with protein	CDH4
PSTPIP1	expression association	miR-188-5p
DBH-AS1	expression association	CCNE1
SMAD2	expression association	EZR-AS1
DANCR	ceRNA or sponge	SPHK2
DANCR	interact with protein	SOX2
CCAT2	ceRNA or sponge	VEGFA
H19	expression association	CTNNB1
HOXB-AS3	interact with protein	TP53
MALAT1	interact with protein	SOX2
NEAT1	ceRNA or sponge	HAVCR2
MEG3	ceRNA or sponge	BRCA1
LINC01134	ceRNA or sponge	IGF2BP1
NHEG1	expression association	DDX5
SNHG16	expression association	DKK3
CYTOR	ceRNA or sponge	CD164
PVT1	ceRNA or sponge	NOTCH2
lincNMR	expression association	TK1
DDX11-AS1	ceRNA or sponge	CLDN7
miR-122	expression association	HOTTIP
TMEM238L	expression association	BCL2
linc-cdh4-2	expression association	RAC1
SNHG7	ceRNA or sponge	PAK4
TINCR	interact with protein	STAT3
H19	ceRNA or sponge	TDRG1
CERS6-AS1	ceRNA or sponge	BAP1
TSPOAP1-AS1	interact with protein	DNMT3B
LINC00665	ceRNA or sponge	FZD3
TUG1	ceRNA or sponge	miR-29b
LNCSRLR	expression association	STAT3
LATS2-AS1-001	expression association	Cyclin D1
SRSF1	transcriptional regulation	MALAT1
RB1	epigenetic regulation	MEG3
HOTAIR	expression association	ASTN1
CircZNF609	expression association	BCL2
Hmrhl	expression association	PDGFRB
AATBC	expression association	NFE2L2
LINC00173	ceRNA or sponge	GSKIP
PVT1	ceRNA or sponge	Beclin-1
OIP5-AS1	ceRNA or sponge	ANO1
SLC25A15	ceRNA or sponge	DYRK2
FEZF1-AS1	ceRNA or sponge	MIR4443
Lnc-UCID	expression association	DHX9
MALAT1	expression association	YAP1
SNHG1	ceRNA or sponge	miR-140-5p
AC016745.3	expression association	AR
ZFAS1	ceRNA or sponge	RAB9A
UCA1	epigenetic regulation	HULC
HOTAIR	ceRNA or sponge	USF1
SNHG6	ceRNA or sponge	VPS45
MAGI2-AS3	ceRNA or sponge	PTEN
LINC00339	ceRNA or sponge	ROCK1
TNK2-AS1	expression association	VEGFA
HULC	expression association	PI3K
miR-1-3p	ceRNA or sponge	UCA1
MALAT1	ceRNA or sponge	CCND2
LUADT1	epigenetic regulation	CDKN1B
SPAG5-AS1	ceRNA or sponge	YY1
TANAR	transcriptional regulation	TWIST1
ENST	expression association	CHEK1
LINC02418	ceRNA or sponge	SEC61G
DANCR	expression association	PIK3CA
NEAT1	expression association	CDK5R1
LINC00461	ceRNA or sponge	CCND1
PCAT1	expression association	BCL2
GAS5	ceRNA or sponge	ATG3
AC091729.7	interact with protein	SRSF2
HOTAIR	epigenetic regulation	PRB
CDKN2B-AS1	expression association	E-cadherin
KDM4C	epigenetic regulation	MALAT1
u50535	expression association	CCR6
MNX1-AS1	expression association	STAT3
TCL6	ceRNA or sponge	PTEN
LINC00667	ceRNA or sponge	IKBKB
EIF3J-DT	ceRNA or sponge	AKT1
FALEC	interact with protein	STAT3
HOXA11-AS	expression association	PRSS8
BLACAT1	expression association	miR-143
CRNDE	ceRNA or sponge	TCF4
HOTAIRM1	ceRNA or sponge	SP1
AL355711	transcriptional regulation	ABCG1
AB073614	expression association	MAPK1
ACTA2-AS1	ceRNA or sponge	GRB2
FOXD2-AS1	expression association	S100A1
FALEC	ceRNA or sponge	NUPR1
MIR497HG	ceRNA or sponge	SIRT1
TATDN3	expression association	CTNNB1
HCP5	ceRNA or sponge	miR-203
TP53TG1	ceRNA or sponge	KRAS
LINC00589	expression association	IL6
HOTAIR	ceRNA or sponge	PTBP1
lnc-TSI	expression association	SNAI1
MEG3	transcriptional regulation	MIR141
CYTOR	ceRNA or sponge	ETS1
OIP5-AS1	ceRNA or sponge	HMGB1
MYC	transcriptional regulation	LINC00319
DANCR	ceRNA or sponge	miR-145
LINC00472	interact with protein	NFKB1
KCNQ1OT1	ceRNA or sponge	CCND2
Lnc-UCID	ceRNA or sponge	CDK6
SNHG10	ceRNA or sponge	IRS2
MALAT1	expression association	MMP14
HOTAIR	ceRNA or sponge	miR-148b
LINC00319	expression association	HMGA2
LINC00210	ceRNA or sponge	NOTCH3
XIST	ceRNA or sponge	NRP1
APF	ceRNA or sponge	ATG7
CLRN1-AS1	ceRNA or sponge	DKK1
CYTOR	interact with protein	BCL2
ICMT-DT	epigenetic regulation	TPX2
TUG1	expression association	SMC2
TP73-AS1	ceRNA or sponge	HMGB1
miR-497	ceRNA or sponge	HOTTIP
OIP5-AS1	ceRNA or sponge	ATG5
TRPM2-AS	ceRNA or sponge	PYCR1
DUXAP8	ceRNA or sponge	HK2
HAND2-AS1	expression association	BCL2
HOTAIR	interact with protein	AR
DNM3OS	ceRNA or sponge	SMAD6
FOXD3-AS1	expression association	DCTN6
UNC5B-AS1	expression association	CDH1
NFKB1	expression association	MIR31HG
SYK	transcriptional regulation	MALAT1
MALAT1	interact with protein	ELAVL1
HNRNPL	interact with protein	PTBP1
SNHG6	ceRNA or sponge	RSF1
FENDRR	ceRNA or sponge	MDR1
CASC9	epigenetic regulation	LAMC2
RP11-169D4.1	expression association	CDH1
MEG3	ceRNA or sponge	miR-147
H19	ceRNA or sponge	SNAI1
MEG3	expression association	TRIB2
EGR1	transcriptional regulation	LINC01503
HOTAIR	ceRNA or sponge	miR-23b-3p
NORAD	ceRNA or sponge	miR-190a-3p
XLOC_000647	transcriptional regulation	NLRP3
LINC00707	ceRNA or sponge	miR-206
PVT1	ceRNA or sponge	INCENP
PSMA3-AS1	ceRNA or sponge	CD274
SNHG20	ceRNA or sponge	MIR4486
CASC9	expression association	miR-424-5p
HOTTIP	expression association	TP53
SP1	transcriptional regulation	AC093818.1
PITPNA-AS1	ceRNA or sponge	SIK2
NEAT1	ceRNA or sponge	CEP55
TUG1	expression association	MYC
HOTAIR	expression association	ATG7
SNHG5	ceRNA or sponge	ZEB1
PEG10	ceRNA or sponge	miR-506
E2F1	transcriptional regulation	ERICD
HOTAIR	epigenetic regulation	UBXN1
LOXL1-AS1	ceRNA or sponge	KDM5C
LOXL1-AS1	expression association	PI3K
CCAT1	interact with protein	BIRC7
PEG10	expression association	miR-3200
TUG1	ceRNA or sponge	SIRT3
HOXA11-AS	ceRNA or sponge	miR-155
FER1L4	expression association	p-PI3K
ACTG1P25	epigenetic regulation	PFKFB3
LINC00968	ceRNA or sponge	CDC14A
GPNCA	expression association	GSK3B
EWSAT1	ceRNA or sponge	CPEB4
GCAWKR	interact with protein	KAT2A
ELK1	transcriptional regulation	TRPM2-AS
TUG1	ceRNA or sponge	TESC
SNHG16	transcriptional regulation	miR-218-5p
IATPR	expression association	CTNNB1
UBE2CP3-001	expression association	MMP9
miR-129-5p	ceRNA or sponge	GSTP1P1
HOTAIR	expression association	miR-141
HIT000218960	expression association	HMGA2
CRNDE	expression association	PCNA
YY1	transcriptional regulation	SOX2-OT
UCA1	epigenetic regulation	PIM1
NKILA	expression association	BAX
GAS5	expression association	SNORD50A
SNHG17	ceRNA or sponge	Trim23-PES1
BRD4	expression association	MANCR
HOXB13	transcriptional regulation	HOXC-AS3
SNHG1	ceRNA or sponge	TERT
MAGI2-AS3	ceRNA or sponge	RECK
FOXO1	transcriptional regulation	GAS5
LINC00673	expression association	MMP9
PSMB8-AS1	ceRNA or sponge	RAB10
circ_0029589	ceRNA or sponge	STIM1
PVT1	ceRNA or sponge	HILPDA
linc-UFC1	expression association	CDK4
MBNL1-AS1	ceRNA or sponge	TGFBR2
NEAT1	expression association	MMP9
BANCR	expression association	CCND1
RPSAP52	ceRNA or sponge	GSTM1
HOTAIR	ceRNA or sponge	FGFR1
HOTAIRM1	expression association	ITGAX
MALAT1	expression association	FBXW7
HOTAIR	ceRNA or sponge	NNMT
MET	expression association	SNHG5
HOXA-AS2	epigenetic regulation	DDIT3
CANT1	expression association	XIST
LINC01133	ceRNA or sponge	AHDC1
LINC00702	ceRNA or sponge	PTEN
AFAP1-AS1	interact with protein	RBM5
FAM230B	ceRNA or sponge	TOP2A
FOXCUT	expression association	MYC
EGR1	transcriptional regulation	FOXD2-AS1
HOTAIR	expression association	SUZ12
TINCR	expression association	miR-107
SLCO4A1-AS1	expression association	EGFR
CCAT2	ceRNA or sponge	NOTCH2
PICSAR	ceRNA or sponge	EIF6
HOXA-AS3	expression association	miR-29c
RP11	expression association	ZEB1
CYTOR	ceRNA or sponge	FEZF1
CYTOR	ceRNA or sponge	PIK3CA
SNHG7	ceRNA or sponge	CCND1
HIF1A-AS2	expression association	ATF2
RHPN1-AS1	ceRNA or sponge	IGF2BP2
LncRNA-TWIST1	expression association	TWIST1
TG2-lncRNA	transcriptional regulation	RXRA
PVT1	expression association	CDKN1A
UCA1	ceRNA or sponge	HMGB1
SNHG16	ceRNA or sponge	E2F1
lncRNA-PAICC	ceRNA or sponge	miR-141-3p
miR-19b-3p	expression association	LINC00667
HAGLR	expression association	CDKN1A
TP53	transcriptional regulation	PVT1
YY1	transcriptional regulation	LINC00673
AK027294	expression association	PCNA
LINC01535	ceRNA or sponge	miR-761
PRAM1	expression association	NEAT1
TUG1	interact with protein	RUNX2
PTPRG-AS1	ceRNA or sponge	PRC1
HAND2-AS1	ceRNA or sponge	SOX7
KCNMA1-AS1	expression association	BCL2L1
LNCARSR	ceRNA or sponge	c-Met
GAS5	ceRNA or sponge	FN1
IQANK1	expression association	MMPÂ©\3
SNHG8	ceRNA or sponge	CDK6
PVT1	ceRNA or sponge	TWIST1
MVIH	expression association	PGK1
MALAT1	ceRNA or sponge	c-Met
DNMT1	epigenetic regulation	MEG3
PCAT6	ceRNA or sponge	miR-204
CPS1-IT1	expression association	CASP3
linc-UFC1	ceRNA or sponge	miR-34a
H19	ceRNA or sponge	SOX6
LINC-ROR	expression association	KLF4
LINC00958	ceRNA or sponge	PAX8
HOTAIR	expression association	ANGPT2
AOC4P	expression association	MAPK3
LINC00511	ceRNA or sponge	miR-515-5p
AATBC	expression association	CDK4
LINC-ROR	ceRNA or sponge	ZEB2
LINC00467	ceRNA or sponge	miR-451a
MEG3	ceRNA or sponge	PDHB
XLOC_008466	ceRNA or sponge	miR-216b
NBAT1	interact with protein	EZH2
MALAT1	expression association	CHUK
SIRT1	epigenetic regulation	PCSK9
AFAP1-AS1	expression association	DUSP5
H19	ceRNA or sponge	SORBS2
PVT1	ceRNA or sponge	ATG7
NNT-AS1	ceRNA or sponge	MIR363
MALAT1	ceRNA or sponge	miR-181a-5p
LINC01133	interact with protein	KDM1A
H19	ceRNA or sponge	E2F1
NCK1-DT	ceRNA or sponge	BCL9
lnc-Sox5	expression association	IDO1
ERLNC1	expression association	MMP3
FOXC2-AS1	interact with protein	FOXC2
EWSAT1	epigenetic regulation	N-cadherin
CDKN2B-AS1	expression association	TIMP2
LINC00400	ceRNA or sponge	RAF1
FENDRR	expression association	CSNK1E
LOC100507144	expression association	NANOG
NEAT1	ceRNA or sponge	PTEN
PCAT6	ceRNA or sponge	MKRN3
PCED1B-AS1	transcriptional regulation	HIF1A
CCAT1	ceRNA or sponge	FSCN1
MALAT1	expression association	MIA2
HOTAIR	expression association	miR-7
RUNX1-IT1	expression association	PCNA
H19	expression association	ESR1
SOX2	transcriptional regulation	MIAT
CASC15	ceRNA or sponge	miR-101-3p
H19	ceRNA or sponge	ACTA2
HOXA11-AS	epigenetic regulation	HOXA11
FLVCR1-DT	ceRNA or sponge	E2F3
LOC105374325	ceRNA or sponge	BAX
LINC02381	expression association	PTEN
DGCR5	ceRNA or sponge	PTEN
DGCR5	ceRNA or sponge	KLF14
DUXAP8	ceRNA or sponge	RAB14
SNHG15	ceRNA or sponge	YAP1
SNHG12	ceRNA or sponge	miR-320
SNHG15	ceRNA or sponge	FOS
H19	expression association	GCLM
PVT1	epigenetic regulation	miR-200b
ZFPM2-AS1	expression association	MIR137
MAGI1-IT1	expression association	IGF1
MALAT1	expression association	MMP9
SNHG5	ceRNA or sponge	KLF4
LINC00839	ceRNA or sponge	miR-454-3p
RBAT1	expression association	E2F3
SNHG14	ceRNA or sponge	FBXO22
LINC00342	expression association	TP53
HULC	expression association	MYC
ZEB1-AS1	expression association	STAT3
MALAT1	expression association	NANOG
ANKRD40CL	ceRNA or sponge	ETS1
CCAT1	expression association	MYC
LINC00319	ceRNA or sponge	RAP2A
GPLD1	expression association	CDKN2B-AS1
PRDX1	transcriptional regulation	LINC00460
IGF2-AS	expression association	IGF2
UCA1	ceRNA or sponge	CDH1
CR594175	ceRNA or sponge	CTNNB1
STAT3	interact with protein	SNHG17
FOXD2-AS1	ceRNA or sponge	CDK1
NBR2	interact with protein	PRKAA1
GAS5	ceRNA or sponge	SPRY2
ENST	expression association	AKT1
AC096664.3	transcriptional regulation	PPARG
SENEBLOC	interact with protein	TP53
MALAT1	ceRNA or sponge	GPNMB
H19	ceRNA or sponge	ERBB2
MEG3	epigenetic regulation	TP53
TUG1	expression association	AURKA
TRERNA1	expression association	SNAI1
SNHG6	expression association	MIR760
THAP1	transcriptional regulation	H19
RP11-445H22.4	ceRNA or sponge	CXCR4
HOTAIR	expression association	ABCC1
IATPR	expression association	SNAI1
LINC00461	ceRNA or sponge	LRIG2
CASC15	expression association	VCAN
VIM-AS1	expression association	vimentin
H19	epigenetic regulation	ABCB1
RP1	transcriptional regulation	CDKN1B
UCA1	ceRNA or sponge	HGF
HOTAIR	epigenetic regulation	CDKN1A
E7Â¦Â¤N	transcriptional regulation	MALAT1
miR-19b-3p	ceRNA or sponge	H19
EGR1	transcriptional regulation	H19
Gm44593	ceRNA or sponge	WNK1
TUG1	expression association	HK2
CYTOR	ceRNA or sponge	NRP1
MYC	epigenetic regulation	CASC11
CCAT1	transcriptional regulation	miR7-5p
SOX2-OT	ceRNA or sponge	TGFBR1
lnc-ATB	expression association	vimentin
UCA1	expression association	MAPK1
BCAR4	expression association	ERBB2
FEZF1-AS1	expression association	ATG5
SOX21-AS1	interact with protein	EZH2
HOTAIR	epigenetic regulation	MEG3
XIST	ceRNA or sponge	miR-149-3p
LINC01638	expression association	ROCK2
LINC01126	ceRNA or sponge	HIF1A
TP53COR1	expression association	OLR1
LINC01234	ceRNA or sponge	CCNE1
PART1	ceRNA or sponge	DNMT3A
HAS2-AS1	ceRNA or sponge	RUNX2
OIP5-AS1	ceRNA or sponge	Wnt-7b
LINC00665	ceRNA or sponge	MAP4K3
HOTTIP	expression association	BCL2L1
MRPL23-AS0	chromatin looping	EZH2
RAMP2-AS1	ceRNA or sponge	KDR
E2F1	transcriptional regulation	LMCD1-AS1
XIST	ceRNA or sponge	ATG7
MEG3	expression association	HSPG2
SNHG7	ceRNA or sponge	MIR186
XIST	ceRNA or sponge	BAG1
HOTAIR	expression association	RB1
TUSC7	ceRNA or sponge	TMPRSS11E
THORLNC	transcriptional regulation	YAP1
KDM4A-AS1	ceRNA or sponge	KPNA2
NEAT1	ceRNA or sponge	WNT7A
SOCS2-AS1	ceRNA or sponge	CUEDC2
TUG1	expression association	LRG1
CAV1	expression association	HOTAIR
Olfr29-ps1	ceRNA or sponge	MYD88
HOXB-AS3	ceRNA or sponge	LDHA
LINC00518	epigenetic regulation	CDX2
NEAT1	ceRNA or sponge	HOXA13
CYTOR	ceRNA or sponge	CDK9
MALAT1	expression association	BRCA1
LINC00184	epigenetic regulation	PTEN
E2F6	expression association	CASC2
MSC-AS1	ceRNA or sponge	DDX5
MYOSLID	expression association	LAMB3
LSINCT5	ceRNA or sponge	BCL2L1
RP11-708H21.4	expression association	RPS6KB1
ELDR	ceRNA or sponge	EGFR
MEG3	interact with mRNA	RAC1
LOC100507144	expression association	MIR302A
FOXD2-AS1	interact with protein	EZH2
YY1	transcriptional regulation	LINC02835
MIR503HG	expression association	N-cadherin
LINC01133	ceRNA or sponge	SOX4
PCA3	ceRNA or sponge	miR-140-5p
SNHG1	ceRNA or sponge	miR-101
H19	ceRNA or sponge	CDK14
SNHG5	expression association	MDR1
PCAT1	expression association	CDKN1A
uc003fir	transcriptional regulation	CCL5
PVT1	ceRNA or sponge	SOX9
HCP5	expression association	Vimentin
ACTA2-AS1	ceRNA or sponge	BCL2L11
TP73-AS1	interact with protein	miR-103
Lnc-BM	interact with protein	JAK2
MALAT1	ceRNA or sponge	EIF4E
HOXA11-AS	ceRNA or sponge	miR-200b
CASC2	ceRNA or sponge	APC
SNHG15	ceRNA or sponge	TP53INP1
KCNQ1OT1	ceRNA or sponge	CCNE2
LINC01138	epigenetic regulation	SREBF1
LINC00205	interact with protein	miR-122-5p
LINC00673	expression association	EZH2
BANCR	expression association	MMP1
CDKN2B-AS1	ceRNA or sponge	STK39
MALAT1	ceRNA or sponge	miR-204
HCG11	interact with protein	IGF2BP1
SNHG1	expression association	CDH2
LASP1-AS	expression association	LASP1
AGAP2-AS1	interact with protein	ELAVL1
LINC00319	interact with mRNA	SIRT6
TP63	transcriptional regulation	LINC01503
SNHG12	ceRNA or sponge	miR-424-5p
SMAD3	transcriptional regulation	HCP5
HOTAIR	transcriptional regulation	SETD2
TINCR	ceRNA or sponge	KLF4
FER1L4	expression association	p-AKT
MIR155HG	expression association	miR-155
IRF1-AS	expression association	IRF1
SNHG4	ceRNA or sponge	miR-377-3p
HCG11	ceRNA or sponge	PKP2
SP1	expression association	HOTTIP
DLEU1	expression association	Caspase3
MIR155HG	transcriptional regulation	miR-155-5p
LINC00525	ceRNA or sponge	HMGB1
MIR4435-2HG	ceRNA or sponge	miR-6754-5p
LINC00511	interact with protein	CDKN1B
AK094457	expression association	ET-1
uc.339	ceRNA or sponge	CCNE2
JPX	transcriptional regulation	MYC
GASAL1	expression association	TGFB1
CERNA2	expression association	JAK2
HOXC-AS3	expression association	FOXM1
RN7SK	expression association	PI4P
NKX2-1-AS1	transcriptional regulation	CD274
ZEB1-AS1	expression association	CDK2
HOXA11-AS	expression association	CDH1
PCAT1	ceRNA or sponge	LRIG2
MIR570MG	ceRNA or sponge	SMAD3
GHET1	expression association	E2F6
SNHG12	ceRNA or sponge	FOXP1
CDKN2B-AS1	expression association	LDHA
LINC02200	interact with protein	NFKB1
CYTOR	interact with protein	DNMT1
AFAP1-AS1	ceRNA or sponge	miR-195
RP11-296A18.3	ceRNA or sponge	HIF1A
RPSAP52	ceRNA or sponge	miR-15a/15b/16
MALAT1	ceRNA or sponge	TGFBR1
SNHG18	ceRNA or sponge	FOXD1
KCNQ1OT1	expression association	miR-214-3p
CCAT1	ceRNA or sponge	miR-33a
AR	expression association	PCAT18
HLA-F-AS1	ceRNA or sponge	PFN1
AK039862	expression association	FOXA1
AFAP1-AS1	ceRNA or sponge	STAT3
MIR31HG	ceRNA or sponge	RNF144B
KCNQ1OT1	ceRNA or sponge	PDCD4
CRNDE	expression association	FOXM1
DLEU2	ceRNA or sponge	ZEB2
PSMC3	ceRNA or sponge	miR-296-5p
DANCR	interact with protein	HDAC3
MALAT1	ceRNA or sponge	AKAP12
LOXL1-AS1	ceRNA or sponge	USF1
SLC26A4-AS1	interact with protein	DDX5
SNHG3	ceRNA or sponge	MYC
MACC1-AS1	ceRNA or sponge	SMAD2
FOXD2-AS1	expression association	p-AKT
DLX6-AS1	ceRNA or sponge	miR-223
LINP1	expression association	AKT1
HULC	ceRNA or sponge	RAB11A
SMAD2	transcriptional regulation	MACC1-AS1
CASC9	interact with protein	HIF1A
XIST	ceRNA or sponge	TLR4
HOTAIR	epigenetic regulation	NCAPG
AL589986.2	interact with protein	MDM2
SNHG6	ceRNA or sponge	SERPINH1
PCAT6	interact with protein	EZH2
EPAS1	expression association	NLUCAT1
HOTAIR	expression association	MMP9
LINC00472	interact with protein	YBX1
HOXA11-AS	expression association	VIM
LINC00467	ceRNA or sponge	CCND1
DANCR	interact with protein	CCND1
DUXAP9	ceRNA or sponge	MIR760
MYC	transcriptional regulation	HOTAIR
KCNQ1OT1	ceRNA or sponge	FOXO3
KLF5	transcriptional regulation	RP1
MIR100HG	expression association	BCL2
SOX2-OT	ceRNA or sponge	SOX3
AGAP2-AS1	epigenetic regulation	CDH1
SNHG18	ceRNA or sponge	FOSL2
LINP1	expression association	KLF2
PVT1	ceRNA or sponge	RAB34
GAS5	expression association	VEGFA
CCAT2	expression association	ZBTB7A
PCAT6	expression association	MYC
LINC00460	ceRNA or sponge	MIR539
BANCR	expression association	CDH2
CEBPB	transcriptional regulation	NEAT1
HOXB-AS3	transcriptional regulation	MCM4
LBX2-AS1	ceRNA or sponge	IRS1
HIF1A-AS2	ceRNA or sponge	HIF1A
LINC00491	ceRNA or sponge	ROCK1
RP11-598D14.1	interact with protein	IGF2BP1
HULC	expression association	MIR15A
PVT1	ceRNA or sponge	DGCR8
PSMD6-AS1	transcriptional regulation	MDM2
HOXB13-AS1	epigenetic regulation	HOXB13
MEG3	ceRNA or sponge	PDGFRA
MEG3	ceRNA or sponge	SOX11
CCHE1	expression association	MAPK3
TTN-AS1	ceRNA or sponge	HMGA1
PICART1	expression association	ERK
TUG1	expression association	p62
HOTTIP	interact with protein	JUN
HOTAIR	epigenetic regulation	CDC6
MIR31HG	expression association	HIF1A
HOTTIP	expression association	LATS2
HOTAIR	epigenetic regulation	E-cadherin
LOXL1-AS1	ceRNA or sponge	MMP14
PCAT29	expression association	RASAL1
LINC-ROR	expression association	let-7b-5p
SNHG22	ceRNA or sponge	LGALS1
DUXAP8	ceRNA or sponge	BUB1
LncCCAT1	ceRNA or sponge	TCF7L2
NEAT1	expression association	WNT4
TUG1	expression association	miR-29a
SOD2	expression association	DE5RT
AFAP1-AS1	expression association	RHOC
ETS1-AS1	interact with protein	HNRNPK
MELTF	expression association	p-AKT
DLX6-AS1	ceRNA or sponge	DLK1
PCGEM1	expression association	YAP1
DUXAP8	ceRNA or sponge	LDHA
SCAMP1	ceRNA or sponge	ZEB1
MCM3AP-AS1	ceRNA or sponge	FOXK1
JMJD6	transcriptional regulation	HOTAIR
ERBB2	expression association	LINC00458
FEZF1-AS1	ceRNA or sponge	HMGA2
SNHG5	ceRNA or sponge	HMGB3
DANCR	expression association	NPTN-IT1
H19	interact with protein	ULK1
LINC00511	ceRNA or sponge	HIF1A
NUTM2A-AS1	expression association	CD274
OIP5-AS1	ceRNA or sponge	MYC
CDKN2B-AS1	ceRNA or sponge	miR-125a
FEZF1-AS1	interact with protein	EZH2
SLCO4A1-AS1	ceRNA or sponge	SLCO4A1
YY1	transcriptional regulation	DUXAP8
CBR3-AS1	expression association	PHGDH
RP11-468E2.5	expression association	JAK2
AWPPH	transcriptional regulation	RUNX2
DGCR5	expression association	MYC
HCP5	transcriptional regulation	MSH5
CRNDE	ceRNA or sponge	E2F3
MYC	transcriptional regulation	KIMAT1
NEAT1	ceRNA or sponge	PIK3R1
HOTAIR	epigenetic regulation	PGR
AFAP1-AS1	ceRNA or sponge	RAB11B
FENDRR	ceRNA or sponge	NPR3
LINC00908	ceRNA or sponge	miR-671-5p
XLOC_006753	expression association	MTOR
MALAT1	expression association	CCT4
HOXA5	transcriptional regulation	LINC00312
LINC01857	ceRNA or sponge	TRIM65
LINC-ROR	ceRNA or sponge	VEGFA
SNHG22	ceRNA or sponge	HMGA1
MALAT1	epigenetic regulation	KEAP1
FOXO1	epigenetic regulation	RP11-838N2.4
NEAT1	ceRNA or sponge	CXCR4
RP11-79H23.3	ceRNA or sponge	PTEN
NOC2L-4.1	ceRNA or sponge	YAP1
ZEB1-AS1	ceRNA or sponge	BMP7
HOTAIR	epigenetic regulation	E2F1
ELFN1-AS1	expression association	IRS1
GClnc1	expression association	CDKN1A
PKM	expression association	MEG3
NHEG1	ceRNA or sponge	HMGB1
ZFAS1	ceRNA or sponge	SKA1
TEX41	ceRNA or sponge	C1QB
ATB	ceRNA or sponge	CDK2
MEG3	ceRNA or sponge	MDK
CASC2	ceRNA or sponge	IL17A
GATD3	interact with protein	SOX2
CBR3-AS1	expression association	TJP1
BX357664	expression association	HSPB1
TP53COR1	epigenetic regulation	E-cadherin
MEG3	ceRNA or sponge	AKAP12
HCG11	ceRNA or sponge	GFI1
EIF2AK3	transcriptional regulation	RMRP
SNHG16	ceRNA or sponge	EGFR
MNX1-AS1	interact with protein	MAPK3
HULC	ceRNA or sponge	miR-101-3p
Giver	expression association	TNF
PVT1	epigenetic regulation	MRPL28
TUG1	expression association	POU2F1
IGF2-AS	ceRNA or sponge	SHOX2
THRIL	expression association	CDK1
MIR210HG	ceRNA or sponge	FOXO6
FAFASA-AS1	ceRNA or sponge	SOX9
P38	expression association	LOC105374325
GACAT3	expression association	Capsase9
SNHG7	expression association	CTNNB1
CASC2	expression association	CTNNB1
LINC00858	ceRNA or sponge	CDK14
TFDP1	expression association	STAT3
HOXA11-AS	ceRNA or sponge	SMAD5
MIR205HG	ceRNA or sponge	TWIST2
NEAT1	transcriptional regulation	GATA3
SNHG12	ceRNA or sponge	MIR133B
DANCR	expression association	KLF6
SOX2-OT	ceRNA or sponge	ZEB2
LINC00473	ceRNA or sponge	CHUK
LINC01535	ceRNA or sponge	KCNC4
CTNNB1	expression association	PRECSIT
DANCR	interact with protein	SOCS3
DANCR	interact with protein	PLAU
PCA3	interact with mRNA	PRUNE2
LOC646616	ceRNA or sponge	CAMK2N2
RPPH1	interact with protein	TUBB3
ABL1	expression association	HOTAIR
CRNDE	ceRNA or sponge	CCNB1
MALAT1	ceRNA or sponge	PIK3R1
SNAI1	transcriptional regulation	PCA3
GAS5	transcriptional regulation	TP53
H19	expression association	Caspase9
ELFN1-AS1	expression association	Erk
LINC00662	expression association	miR-15b-5p
ELL2	interact with protein	MAPK14
Giver	expression association	CCL2
H19	ceRNA or sponge	TDG
USF1	transcriptional regulation	LINC01048
MEG3	expression association	KRT14
SOX2-OT	epigenetic regulation	EZH2
LINC01410	ceRNA or sponge	FOXM1
CCAT1	expression association	CDKN1A
TUG1	ceRNA or sponge	MIR328
OIP5-AS1	ceRNA or sponge	ROCK1
LINC00312	expression association	PI3K
LINRIS	interact with protein	IGF2BP2
TUG1	ceRNA or sponge	miR-133a
EZH2	expression association	miR-106
OIP5-AS1	ceRNA or sponge	KLF10
MYOSLID	ceRNA or sponge	MCL1
LINC-ROR	transcriptional regulation	TIMP3
HOTAIR	ceRNA or sponge	HMGB1
OIP5-AS1	ceRNA or sponge	CCNG1
HOTTIP	transcriptional regulation	CTNNB1
UCA1	ceRNA or sponge	MMP14
H19	ceRNA or sponge	LDHA
LINC00511	expression association	MMP2/9/12
SNHG15	expression association	MMP2
DSCAM-AS1	ceRNA or sponge	miR-136
SNHG12	ceRNA or sponge	MCL1
UFC1	ceRNA or sponge	CXCL10
lncRNA-PE	expression association	ZEB1
HOTAIR	ceRNA or sponge	miR-330-5p
HOTTIP	expression association	BCL2
HOTAIR	epigenetic regulation	LAMB3
HULC	transcriptional regulation	TERF2
LINC00511	expression association	KLF2
LINC00958	ceRNA or sponge	PHF6
MCM3AP-AS1	ceRNA or sponge	FOXA1
AFAP1-AS1	expression association	AKT1
PVT1	ceRNA or sponge	RUNX2
XIST	epigenetic regulation	KLF2
AB073614	expression association	SOX7
GAS5	transcriptional regulation	EZH2
HOXA-AS2	expression association	CDKN1A
SNHG7	ceRNA or sponge	miR-193b
TTN-AS1	ceRNA or sponge	FSCN1
PEG10	expression association	VIM
TUG1	transcriptional regulation	Nrf2
HULC	expression association	ESM1
MALAT1	ceRNA or sponge	PNPO
SNHG5	expression association	STAU1
PCBP2-OT1	interact with mRNA	RASAL1
KCNQ1OT1	ceRNA or sponge	EZR
LINC01433	ceRNA or sponge	STAT3
RMRP	expression association	FMNL2
AGO2	ceRNA or sponge	PIK3CA
MEG3	ceRNA or sponge	SMARCB1
LINC00467	expression association	HTRA3
MALAT1	ceRNA or sponge	RBG2
MIAT	expression association	ODC1
DLGAP1-AS1	ceRNA or sponge	NFE2L1
ZFAS1	expression association	KLF2
