Regulator	SearchregulatoryMechanism	Target
LOXL1-AS1	ceRNA or sponge	HMGA2
LINC00261	expression association	miR-23a-3p
FOXD2-AS1	ceRNA or sponge	MAP3K1
CYTOR	ceRNA or sponge	YAP1
DGCR5	expression association	WNT3A
DGCR5	expression association	MYC
DGCR5	expression association	BIRC5
SNHG16	ceRNA or sponge	CCND1
MIAT	ceRNA or sponge	PAPPA
LINC00665	ceRNA or sponge	E2F3
LOC646616	ceRNA or sponge	WNT3
LOC646616	ceRNA or sponge	CAMK2N2
TRIM52-AS1	ceRNA or sponge	MRPS18A
TBX5-AS1:2	epigenetic regulation	TBX5
SMILR	ceRNA or sponge	KLF5
TERF1	expression association	TERRA
TRF2	expression association	TERRA
H19	ceRNA or sponge	PIK3R3
LINC00312	expression association	YBX1
HOTAIR	expression association	miR-106
EZH2	expression association	miR-106
SNHG4	ceRNA or sponge	PTEN
lncZBTB39	ceRNA or sponge	THSD7A
GAS5	expression association	miR-21
LBX2-AS1	ceRNA or sponge	IRS1
MIR155HG	ceRNA or sponge	BRD4
XIC	ceRNA or sponge	hsa-miR21-5p
TCONS_00016233	ceRNA or sponge	AIFM1
TCONS_00016233	expression association	IL-1¦Â
TCONS_00016233	expression association	TNF
AL049437	ceRNA or sponge	MAPK1
GPNCA	expression association	GSK3B
CISAL	expression association	BRCA1
CISAL	expression association	GABPA
UCA1	expression association	miR-185-5p
XIST	ceRNA or sponge	IL12A
FTX	ceRNA or sponge	FMR1
LUCAT1	ceRNA or sponge	HOXA13
SPAG5-AS1	ceRNA or sponge	YY1
SPAG5-AS1	expression association	SPAG5
VPS9D1-AS1	ceRNA or sponge	HMGA2
MEG3	ceRNA or sponge	miR-146a
GAS5	ceRNA or sponge	BCL2
TMEM238L	ceRNA or sponge	GFI1
GFI1	expression association	TMEM238L
PCAT1	expression association	BAX
PCAT1	expression association	BCL2
MEG3	epigenetic regulation	TP53
MEG3	epigenetic regulation	TERT
MEG3	expression association	TERRA
TUG1	expression association	BDNF
LINC00525	expression association	miR-338-3p
TUSC7	ceRNA or sponge	GATA3
CRNDE	expression association	SMAD3
FAS-AS1	expression association	FAS
FAS-AS1	expression association	DNMT3B
FAS-AS1	expression association	SIRT1
NKILA	expression association	miR-21
MEG3	ceRNA or sponge	AKAP12
IUR	ceRNA or sponge	TP53
CASC2	ceRNA or sponge	SOCS2
FERRE	ceRNA or sponge	EZH2
LINC02381	ceRNA or sponge	miR-21
LINC02381	ceRNA or sponge	MIR590
LINC02381	ceRNA or sponge	miR-27a
LINC02381	expression association	MYC
LINC02381	expression association	CCND1
PVT1	ceRNA or sponge	HMGB1
LINC00472	interact with protein	YBX1
ARFRP1	ceRNA or sponge	TLR4
TTN-AS1	ceRNA or sponge	PAK3
TTN-AS1	expression association	CDKN1A
OIP5-AS1	ceRNA or sponge	MYC
MALAT1	ceRNA or sponge	OAS2
MALAT1	ceRNA or sponge	OAS3
MALAT1	ceRNA or sponge	OASL
CDKN2B-AS1	expression association	miR-21
CDKN2B-AS1	epigenetic regulation	PRKAA2
CDKN2B-AS1	expression association	CTNNB1
DANCR	ceRNA or sponge	XBP1s
ZEB1-AS1	ceRNA or sponge	HOXB8
MALAT1	ceRNA or sponge	BMPR2
HAND2-AS1	expression association	ROCK2
SNHG1	ceRNA or sponge	miR-424
SNHG15	ceRNA or sponge	TP53INP1
LINC00426	ceRNA or sponge	MIR4319
lincNMR	expression association	YBX1
lincNMR	expression association	RRM2
lincNMR	expression association	TYMS
lincNMR	expression association	TK1
H19	expression association	miR-140-5p
AK131850	expression association	TGFB1
TMPO-AS1	ceRNA or sponge	TMEFF2
PDE10A	ceRNA or sponge	SEPTIN6
TUG1	expression association	PRKAA2
TUG1	expression association	LC3II
TUG1	expression association	LC3I
TUG1	expression association	MTOR
TUG1	expression association	p62
CCAT1	expression association	FOXO1
SNHG5	interact with protein	MTA2
HSRL	expression association	SNX9
PCED1B-AS1	ceRNA or sponge	ZEB1
HEIH	ceRNA or sponge	WEE1
LINC01126	ceRNA or sponge	HIF1A
SNHG16	ceRNA or sponge	BMP7
LINC01436	ceRNA or sponge	APEX1
SNHG5	ceRNA or sponge	RUNX3
SRC-1	expression association	XIST
XIST	ceRNA or sponge	KLF4
LINC01133	ceRNA or sponge	FOXD1
LINC00466	ceRNA or sponge	CHEK1
YY1	interact with protein	LINC00466
LINC00525	ceRNA or sponge	HMGB1
LINC00511	ceRNA or sponge	E2F1
PCNAP1	ceRNA or sponge	SOX4
DUXAP8	ceRNA or sponge	BUB1
MIR924HG	interact with protein	SOCS1
MIR924HG	epigenetic regulation	STAT1
NFIA-AS2	ceRNA or sponge	ZFX
LINC01535	ceRNA or sponge	KCNC4
UCA1	ceRNA or sponge	CCR7
HULC	ceRNA or sponge	SIRT1
HULC	expression association	Cyclin D1
GAS5	ceRNA or sponge	HMGB1
HOTAIR	ceRNA or sponge	HMGB1
NEAT1	epigenetic regulation	TRAF6
SLEAR	expression association	ILF2
SLEAR	expression association	HNRNPF
SLEAR	expression association	TAF15
H19	ceRNA or sponge	ROCK2
H19	expression association	IL6
H19	expression association	IL1B
H19	expression association	COX2
H19	expression association	CCL5
H19	expression association	TNF
H19	expression association	CXCL10
H19	expression association	CCL2
LINC00460	expression association	CCND1
LINC00460	expression association	CDK4
LINC00460	expression association	CDK6
LINC00963	ceRNA or sponge	HMGA1
NEAT1	expression association	HMGB1
HCP5	interact with protein	YBX1
HCP5	transcriptional regulation	MSH5
GNAS	expression association	TPTEP1
TPTEP1	interact with protein	STAT3
ORF50	chromatin looping	PAN RNA
MALAT1	expression association	SIRT1
MALAT1	ceRNA or sponge	ET-1
RAPIA	ceRNA or sponge	ITGB1
FOXO1	chromatin looping	RAPIA
LINC00963	ceRNA or sponge	miR-128-3p
LCTS5	interact with protein	INO80
PANTR1	expression association	MDR
PANTR1	expression association	CD44
PANTR1	expression association	PROM1
CCEPR	expression association	CCND1
CCEPR	expression association	CTNNB1
CCEPR	expression association	MYC
CCEPR	expression association	MMP7
PTENP1	ceRNA or sponge	MTUS1
PTENP1	expression association	Cyclin D1
PTENP1	expression association	N-cadherin
PTENP1	expression association	Vimentin
RHPN1-AS1	ceRNA or sponge	SNAI2
ILF3-DT	ceRNA or sponge	IL-1¦Â
ILF3-DT	ceRNA or sponge	IL6
ILF3-DT	ceRNA or sponge	TNF
ILF3-DT	ceRNA or sponge	MMP3
ILF3-DT	ceRNA or sponge	MMP9
ILF3-DT	ceRNA or sponge	SMAD2
DANCR	ceRNA or sponge	KLF5
WT1-AS	ceRNA or sponge	AKT1
DANCR	ceRNA or sponge	MDM2
LINC00665	epigenetic regulation	YBX1
LINC00665	transcriptional regulation	ANGPT4
LINC00665	transcriptional regulation	ANGPTL3
LINC00665	transcriptional regulation	VEGFA
IGF1	transcriptional regulation	SNHG7
HAGLROS	expression association	FAS
HAGLROS	expression association	ACACA
HAGLROS	expression association	SCD1
HAGLROS	expression association	CPT11
HAGLROS	expression association	SREBF1
HAGLROS	expression association	PPARG
HAGLROS	expression association	MTOR
HAGLROS	expression association	ATG9A
HAGLROS	expression association	ATG9B
LNCRNA-ATB	expression association	TGFB1
HCP5	ceRNA or sponge	PRC1
SOX2-OT	ceRNA or sponge	TGFBR1
ZFPM2-AS1	ceRNA or sponge	HOXA1
MEG3	expression association	MANF
TYKRIL	expression association	PDGFRB
TYKRIL	transcriptional regulation	TP53
SNHG12	interact with protein	SP1
SNHG12	transcriptional regulation	CDCA3
HOTAIR	epigenetic regulation	MTHFR
CASC2	ceRNA or sponge	miR-214
CASC2	expression association	TRIM16
TINCR	ceRNA or sponge	miR-31
SATB2-AS1	ceRNA or sponge	BRMS1L
YY1	transcriptional regulation	CASC9
PBX3	transcriptional regulation	SNHG10
SNHG10	transcriptional regulation	DDX54
DANCR	expression association	FOXO1
MALAT1	expression association	miR-124
HOTAIR	expression association	COL1A1
HOTAIR	interact with mRNA	RUNX2
HOTTIP	interact with mRNA	WDR5
HOTTIP	interact with mRNA	TWIST1
HIF1A-AS2	ceRNA or sponge	miR-153-3p
DBH-AS1	ceRNA or sponge	miR-233-3p
LINC00858	epigenetic regulation	WNK2
UCA1	ceRNA or sponge	CDH1
SNHG1	ceRNA or sponge	FTMT
lncRNA-5657	transcriptional regulation	SPNS2
SNHG6	ceRNA or sponge	STYX
SNHG7	ceRNA or sponge	ELK1
ELK1	transcriptional regulation	SNHG7
HOTAIR	ceRNA or sponge	MIR217
AGAP2-AS1	ceRNA or sponge	MMP2
NSUN2	epigenetic regulation	H19
G3BP1	epigenetic regulation	H19
BLACAT1	interact with mRNA	TIMM8A
SUMO1P3	interact with mRNA	CTNNB1
SUMO1P4	interact with mRNA	MYC
SUMO1P5	interact with mRNA	CCND1
MEG3	ceRNA or sponge	miR-145-5p
MEG3	expression association	BAX
MEG3	expression association	IL1B
AKT1	epigenetic regulation	LINC01546
LSINCT5	transcriptional regulation	AKT1
CASC2	expression association	EIF2AK3
NUTM2A-AS1	ceRNA or sponge	HIF1A
NUTM2A-AS1	ceRNA or sponge	TET1
NUTM2A-AS1	expression association	CD274
EGR1	transcriptional regulation	LINC01503
HOXB-AS3	ceRNA or sponge	LDHA
SNHG6	transcriptional regulation	HIF1A
BANCR	epigenetic regulation	miR<U+2011>34c
CDKN2B-AS1	ceRNA or sponge	TXNIP
CDKN2B-AS1	ceRNA or sponge	STAT3
TMPO-AS1	ceRNA or sponge	miR<U+2011>140<U+2011>5p
HIF1A-AS2	expression association	NANOG
HIF1A-AS3	expression association	POU5F1
HIF1A-AS4	expression association	SOX2
KDM7A-DT	ceRNA or sponge	PRAF2
lncGALM	ceRNA or sponge	ZEB1
lncGALM	ceRNA or sponge	ZEB2
lncGALM	transcriptional regulation	IL-1¦Â
DUXAP8	ceRNA or sponge	miR-26b-5p
SOX2-OT	transcriptional regulation	SOX2
SOX2-OT	ceRNA or sponge	HNRNPA2B1
SOX2-OT	ceRNA or sponge	FOXP4
SOX2-OT	ceRNA or sponge	ZEB2
SOX2-OT	ceRNA or sponge	MCL-1 isoform 2
SOX2-OT	ceRNA or sponge	AKT2
SOX2-OT	ceRNA or sponge	SOX3
LINC00987	ceRNA or sponge	SIRT1
MALAT1	transcriptional regulation	CD36
MALAT1	expression association	IL22
XIST	ceRNA or sponge	MIR137
NBAT1	expression association	MYC
LIFR-AS1	ceRNA or sponge	COL1A2
EPB41L4A-AS1	epigenetic regulation	MYD88
TANAR	transcriptional regulation	TWIST1
OIP5-AS1	ceRNA or sponge	C1QTNF3
LINC00460	interact with mRNA	IGF2BP2
LINC00460	interact with mRNA	DHX9
LINC00460	transcriptional regulation	HMGA1
XIST	ceRNA or sponge	PAPPA
HOTAIR	ceRNA or sponge	WT1
LINC01224	ceRNA or sponge	AKT3
TCONS_00004099	ceRNA or sponge	PTPRF
THAP9-AS1	ceRNA or sponge	SGMS2
ZFAS1	expression association	WNT
LOXL1-AS1	ceRNA or sponge	NFIB
HOXA-AS2	ceRNA or sponge	CDK8
FAM225B	ceRNA or sponge	CCND2
NEAT1	expression association	BACH1
NEAT1	expression association	let-7g-5p
DANCR	ceRNA or sponge	ZEB1
HCG11	ceRNA or sponge	MDM2
CYTOR	ceRNA or sponge	SERPINE1
SDCBP2-AS1	ceRNA or sponge	EPDR1
MIR29B2CHG	expression association	miR-29c
MIR22HG	ceRNA or sponge	ADAMTS5
BRE-AS1	expression association	miR-21
SNHG1	expression association	SOCS2
DLEU2	ceRNA or sponge	HK2
DLEU2	expression association	EZH2
KCNQ1OT1	ceRNA or sponge	TRPS1
NEAT1	interact with protein	miR-205-5p
HAR1A	expression association	ALPK1
HAR2A	expression association	BRD7
ACTA2-AS1	ceRNA or sponge	CXCL2
W42	interact with protein	DBN1
PVT1	ceRNA or sponge	miR-17-5p
E2F	transcriptional regulation	LAPAS1
LAPAS1	transcriptional regulation	SPNS2
TUG1	transcriptional regulation	miR-204-5p
TINCR	interact with protein	PTPN2
TINCR	interact with protein	STAT3
HCG11	ceRNA or sponge	BRMS1
Rg3	transcriptional regulation	H19
SNHG6	ceRNA or sponge	BMPR1B
KCNQ1OT1	ceRNA or sponge	CBX3
TP73-AS1	ceRNA or sponge	GOLM1
MAGI2-AS3	interact with protein	HEY1
MAGI2-AS3	transcriptional regulation	ACY1
SOX2-OT	ceRNA or sponge	SOX5
LINC01535	ceRNA or sponge	miR-761
TRPM2-AS	ceRNA or sponge	WEE1
MIAT	ceRNA or sponge	RAB22A
PINK1-AS	ceRNA or sponge	G¦Ái1
AK097647	transcriptional regulation	IFN-¦Ë1
Mirt2	epigenetic regulation	MIR1246
NKILA	ceRNA or sponge	CLDN2
BBOX1-AS1	ceRNA or sponge	MELK
KLF5	transcriptional regulation	BBOX1-AS1
MIR503HG	ceRNA or sponge	CEBPB
KCNQ1	ceRNA or sponge	MIR133B
KCNQ1OT1	ceRNA or sponge	PDCD4
PCAT6	ceRNA or sponge	HNRNPA2B1
NEAT1	ceRNA or sponge	TXNIP
PART1	ceRNA or sponge	MIR122
THAP9-AS1	ceRNA or sponge	SOX4
ACTA2-AS1	ceRNA or sponge	BCL2L11
SNHG16	ceRNA or sponge	SUSD2
OXCT1-AS1	ceRNA or sponge	CDC25A
MSC-AS1	ceRNA or sponge	DDX5
MIR503HG	ceRNA or sponge	SMAD3
PVT1	ceRNA or sponge	ARL2
ELAVL1	expression association	XIST
XIST	transcriptional regulation	AGO2
HCG18	ceRNA or sponge	PPP2R2A
MCF2L-AS1	expression association	miR-873-5p
OIP5-AS1	ceRNA or sponge	FOXM1
H19	ceRNA or sponge	PFKFB3
OIP5-AS1	ceRNA or sponge	CCNG1
LINC-ROR	expression association	TWIST1
PINT87aa	expression association	FOXM1
HOTAIR	transcriptional regulation	miR-126
SLC16A1-AS1	epigenetic regulation	miR-141
MALAT1	ceRNA or sponge	GPNMB
H19	ceRNA or sponge	BCL2L11
MITA1	expression association	MAP1LC3A
MITA1	expression association	Beclin-1
MITA1	expression association	p62
RP11-279C4.1	ceRNA or sponge	CBX3
HOXA-AS3	ceRNA or sponge	PDE5A
RPL34-DT	expression association	RPL34
EIF4A3	transcriptional regulation	RPL34-DT
LINC00472	epigenetic regulation	MCM6
H19	interact with protein	MTOR
H19	interact with protein	ULK1
LINC-ROR	expression association	MLL1
LINC-ROR	transcriptional regulation	TIMP3
OIP5-AS1	ceRNA or sponge	miR-203
H19	expression association	PPP1CA
H19	expression association	PPP2CA
H19	ceRNA or sponge	miR-200b-3p
GAS5	ceRNA or sponge	HDAC4
SNHG7	ceRNA or sponge	XBP1
HEIH	ceRNA or sponge	CDK8
AND2-AS1	transcriptional regulation	RUNX2
MT1JP	ceRNA or sponge	FBP1
PVT1	ceRNA or sponge	AGO1
SNX17	ceRNA or sponge	IGF1
SNHG3	transcriptional regulation	N-cadherin
SNHG3	transcriptional regulation	Snai
SNHG3	transcriptional regulation	E-cadherin
AFAP1-AS1	expression association	DUSP5
SNHG5	ceRNA or sponge	SMAD4
DUXAP9	epigenetic regulation	IGF2BP2
LINC00842	expression association	PPARGC1A
UCA1	ceRNA or sponge	VEGFC
NEAT1	ceRNA or sponge	ICAM1
SNHG16	expression association	TLR7
TP73-AS1	ceRNA or sponge	AKT3
ILF3-DT	ceRNA or sponge	PTEN
KLF5	transcriptional regulation	IGFL2-AS1
IGFL2-AS1	ceRNA or sponge	IGFL1
OIP5-AS1	ceRNA or sponge	SLC7A11
RUSC1-AS1	ceRNA or sponge	miR-340-5p
PART1	ceRNA or sponge	CHRAC1
YY1	transcriptional regulation	PART1
HULC	ceRNA or sponge	TLR4
LOC146880	ceRNA or sponge	FSCN1
EIF2AK3	transcriptional regulation	RMRP
DANCR	ceRNA or sponge	NRAS
LINC01278	ceRNA or sponge	ACTG2
LINC00707	ceRNA or sponge	miR-223-5p
TCONS_00034812	epigenetic regulation	miR-21
AK136714	interact with protein	ELAVL1
AK136714	interact with protein	FOXO3
SNHG6	ceRNA or sponge	LAMC1
THCYTX	ceRNA or sponge	miR-513b-5p
DUXAP8	ceRNA or sponge	SAPCD2
YY1	transcriptional regulation	DUXAP8
MIAT	ceRNA or sponge	miR-613
DLEU1	ceRNA or sponge	PRPS1
CCAT2	transcriptional regulation	CCN4
TP73-AS1	ceRNA or sponge	MMP14
MT1DP	expression association	miR-365
NCK1-DT	ceRNA or sponge	BCL9
SNHG16	ceRNA or sponge	miR-1285-3p
LIFR-AS1	ceRNA or sponge	NFIA
LINC00173	ceRNA or sponge	RAB14
SNHG14	ceRNA or sponge	miR-152-3p
PRKAR1B-AS2	interact with protein	PI3K-110alpha
NEAT1	ceRNA or sponge	PTEN
SNHG17	ceRNA or sponge	miR-942
MEG3	ceRNA or sponge	SIRT1
KIMAT1	transcriptional regulation	KRAS
MYC	transcriptional regulation	KIMAT1
KIMAT1	transcriptional regulation	DHX9
KIMAT1	transcriptional regulation	NPM1
LINC01006	ceRNA or sponge	CTNNB1
lncRNA-PAICC	ceRNA or sponge	miR-141-3p
lncRNA-PAICC	ceRNA or sponge	miR-27a-3p
LINC00184	ceRNA or sponge	ANXA2
PRR34-AS1	ceRNA or sponge	E2F2
PRR34-AS1	ceRNA or sponge	SOX12
E2F2	transcriptional regulation	PRR34-AS1
HOXBLINC	transcriptional regulation	NPM1c+
LINC01133	ceRNA or sponge	ANXA2
STAT1	transcriptional regulation	DLEU2
DLEU2	ceRNA or sponge	NOTCH2
UCA1	ceRNA or sponge	miR-613
AFAP1-AS1	ceRNA or sponge	miR-195
AFAP1-AS2	ceRNA or sponge	miR-545
LINC00942	ceRNA or sponge	FZD1
GAU1	expression association	GALNT8
GLCC1	interact with protein	IGF2BP1
GLCC1	interact with protein	MYC
HCP5	ceRNA or sponge	DNMT3A
LINC02620	ceRNA or sponge	FGF7
UCA1	ceRNA or sponge	SOX2
NRAD1	ceRNA or sponge	c-Met
LINC01929	ceRNA or sponge	FOXC1
Lnc-HZ08	interact with protein	CBL
Lnc-HZ08	interact with protein	PIK3CA
HOTAIR	ceRNA or sponge	DHX33
H19	ceRNA or sponge	LDHA
LINC01638	ceRNA or sponge	BATF3
LINC00641	ceRNA or sponge	NOTCH1
AC005592.2	transcriptional regulation	OLFM4
TINCR	expression association	ATF4
OIP5-AS1	ceRNA or sponge	TUB
DANCR	ceRNA or sponge	ERBB2
CCNL1	expression association	FOXO1
MCM3AP-AS1	ceRNA or sponge	VEGFA
HOTAIR	ceRNA or sponge	ADAM10
CYTOR	ceRNA or sponge	RAB10
DNM3OS	ceRNA or sponge	MAP3K3
LEF1-AS1	interact with protein	LEF1
LEF1-AS1	interact with protein	FUT8
LEF1-AS1	interact with protein	MLL1
LINC01518	ceRNA or sponge	miR-216b-5p
INHBA	ceRNA or sponge	MCL1
LINC01123	ceRNA or sponge	GLI1
LINC02381	ceRNA or sponge	CDCA4
TPTEP1	expression association	VEGFA
miR-129-5p	ceRNA or sponge	GSTP1P1
MALAT1	ceRNA or sponge	NLRP3
LINC02381	expression association	CBX5
ZFAS1	interact with protein	MMP3
CREB3	interact with protein	ZFAS1
HCP5	ceRNA or sponge	EZH2
LINC00963	ceRNA or sponge	ETS1
IGF2-AS	ceRNA or sponge	KLK4
LINC00659	expression association	IQGAP3
LINC00659	expression association	MMP3
NR2F2-AS1	ceRNA or sponge	PLEKHO2
PCA3	ceRNA or sponge	SREBF1
DLGAP1-AS1	ceRNA or sponge	MARK4
LINC00847	ceRNA or sponge	IFITM1
UCA1	ceRNA or sponge	SP1
UCA1	ceRNA or sponge	SP3
LINC00518	ceRNA or sponge	MECP2
SNHG14	ceRNA or sponge	CCN5
PANDAR	interact with protein	SRSF7
PANDAR	expression association	PIM1
CRYBG3	interact with protein	EEF1A1
CRYBG3	expression association	MDM2
CRYBG3	expression association	MTBP
CRYBG3	expression association	ACTN4
GAS5	ceRNA or sponge	miR-1297
lnc005620	expression association	ITGB1
PTTG3P	ceRNA or sponge	PTTG1
ELNAT1	expression association	UBE2I
ELNAT1	expression association	SOX18
CCDC80	ceRNA or sponge	HOXA10
DANCR	ceRNA or sponge	ATG16L1
FAM230B	ceRNA or sponge	WNT5A
CCAT1	ceRNA or sponge	HMGA1
NEAT1	expression association	TNFRSF1B
LINC00662	ceRNA or sponge	EZH2
NR026833.1	expression association	BMP2
NR026833.1	ceRNA or sponge	SNAI1
LINC00355	ceRNA or sponge	ABCB1
TP73-AS1	interact with protein	YY1
SNHG16	ceRNA or sponge	IRAK1
LOC100129620	ceRNA or sponge	CDK6
EMSLR	ceRNA or sponge	WTAP
NEAT1	expression association	ACSL4
NEAT1	expression association	SLC7A11
NEAT1	expression association	GPX4
NEAT1	expression association	TFR4
lncRSPH9-4	ceRNA or sponge	MMP3
MALAT1	ceRNA or sponge	SRSF1
MALAT1	ceRNA or sponge	MTOR
MALAT1	ceRNA or sponge	CCL21
MNX1-AS1	ceRNA or sponge	BCL9
GAS5	ceRNA or sponge	MIR21
NORAD	ceRNA or sponge	CDC6
NORAD	expression association	K6
NORAD	expression association	KRT7
NORAD	expression association	K17
NEAT1	ceRNA or sponge	AGPS
NEAT1	ceRNA or sponge	APOC4
CERS6-AS1	ceRNA or sponge	FGFR1
PWAR6	ceRNA or sponge	BMP2
MIAT	expression association	MYCN
MIAT	expression association	ODC1
MIAT	expression association	MYC
MALAT1	ceRNA or sponge	ST8SIA4
LINC00958	expression association	NUDT19
NEAT1	ceRNA or sponge	MIR146B
TUG1	interact with protein	RUNX2
TUG1	expression association	ANPEP
SAMD12-AS1	interact with protein	DNMT1
LINC00908	ceRNA or sponge	miR-671-5p
lnc-LYZ-2	expression association	FUBP1
MIR205HG	ceRNA or sponge	TWIST2
AFAP1-AS1	ceRNA or sponge	STAT3
SNHG1	ceRNA or sponge	XIAP
OIP5-AS1	ceRNA or sponge	MTDH
SNHG9	epigenetic regulation	GSTP1
LINC00665	ceRNA or sponge	PAK2
LINC00665	ceRNA or sponge	FZD3
LINC00473	ceRNA or sponge	miR-497-5p
PD-L1-lnc	interact with protein	MYC
LINC01303	ceRNA or sponge	TIMP2
TRERNA1	ceRNA or sponge	NRAS
HBX	expression association	TRERNA1
TUG1	ceRNA or sponge	MSI2
CEBPB	interact with protein	HAS2-AS1
LINC01116	ceRNA or sponge	MDM2
GAS5	ceRNA or sponge	TIMP3
DQ786243	ceRNA or sponge	WNT3A
NORAD	ceRNA or sponge	PEAK1
ILF3-DT	ceRNA or sponge	CAMK1D
UNC5B-AS1	ceRNA or sponge	miR-218-5p
UNC5B-AS1	expression association	CDH1
UNC5B-AS1	expression association	VIM
UNC5B-AS1	expression association	TWIST1
FOXD2-AS1	ceRNA or sponge	MIR4492
NKILA	ceRNA or sponge	NLRX1
MCM3AP-AS1	ceRNA or sponge	SENP1
BACE1-AS	ceRNA or sponge	CELF1
TCF4	interact with protein	ERLR
ERLR	interact with protein	MYH9
LNC-HZ01	epigenetic regulation	MXD1
LNC-HZ01	expression association	JUN
LNC-HZ01	expression association	USP36
MXD1	epigenetic regulation	LNC-HZ01
LINC00477	ceRNA or sponge	miR-128
SLC2A1-DT	ceRNA or sponge	miR-508-5p
TFAP2A	interact with protein	SLC2A1-DT
PCA3	ceRNA or sponge	miR-140-5p
PCA3	ceRNA or sponge	RFX7
PCA3	expression association	ABCA1
FOXD2-AS1	expression association	miR-143
FOXD2-AS1	expression association	BAX
FOXD2-AS1	expression association	BCL2
lncRNA SRA	ceRNA or sponge	MIR146B
RAMS11	interact with protein	CBX4
RAMS11	expression association	TOP2A
NEAT1	ceRNA or sponge	CYTH3
TUG1	ceRNA or sponge	BCL2L11
LINC00261	ceRNA or sponge	TNRC6A
WDFY3-AS2	ceRNA or sponge	PTEN
HCP5	ceRNA or sponge	HMGA2
OIP5-AS1	ceRNA or sponge	XIAP
OIP5-AS1	ceRNA or sponge	ATG5
H19	ceRNA or sponge	IL2
GAS5	ceRNA or sponge	CDKN2B
SFTA3	ceRNA or sponge	STK4
LUCAT1	ceRNA or sponge	miR-181a-5p
JPX	ceRNA or sponge	HIF1A
TTN-AS1	ceRNA or sponge	HMGA1
XIST	ceRNA or sponge	BCL2L2
EGR1	expression association	LINC01116
LINC01116	ceRNA or sponge	CDCA4
SGMS1-AS1	ceRNA or sponge	MYLI9
TUG1	ceRNA or sponge	TESC
SNHG12	ceRNA or sponge	EIF5A
MIAT	ceRNA or sponge	STIM1
SNHG12	ceRNA or sponge	CUL4B
HCP5	ceRNA or sponge	miR-128
NEAT1	ceRNA or sponge	KCTD20
DUXAP8	ceRNA or sponge	NUPR1
PFI	interact with protein	SRSF1
AGAP2-AS1	ceRNA or sponge	NOTCH2
ATB	ceRNA or sponge	YY1
CERS6-AS1	ceRNA or sponge	HMGA1
SNHG1	ceRNA or sponge	MAPK1
LPAL2	ceRNA or sponge	EGFR
ZEB1-AS1	ceRNA or sponge	MIR23C
XIST	ceRNA or sponge	TRIM25
NORAD	ceRNA or sponge	TGF-betaR2
NORAD	ceRNA or sponge	UBE3A
SYNE3	expression association	CDKN1A
SYNE3	expression association	BAX
SYNE3	expression association	CDH1
LINC00221	ceRNA or sponge	MMP11
MAGI1-IT1	expression association	IGF1
MAGI1-IT1	expression association	miR-302d-3p
MSC-AS1	ceRNA or sponge	GPAM
SNHG4	ceRNA or sponge	KDM3A
VESTAR	expression association	ELAVL1
VESTAR	interact with protein	ELAVL1
NXF1	expression association	VESTAR
SRSF3	expression association	VESTAR
MROCKI	expression association	MAP3K7
RP11-301G19.1	ceRNA or sponge	HMGB2
ARID1B	expression association	HOXA-AS2
SUB1	expression association	HOXA-AS2
HOXA-AS2	expression association	HOXA3
XIST	ceRNA or sponge	miR-125b-2-3p
XIST	ceRNA or sponge	GAB2
TUG1	ceRNA or sponge	TNF
RMRP	ceRNA or sponge	DDX5
RMRP	expression association	NLRP3
MALAT1	ceRNA or sponge	HIF3A
MCTP1-AS1	ceRNA or sponge	miR-650
GAS8-AS1	expression association	NEAT1
MEG8	ceRNA or sponge	NOTCH2
ATP2B1-AS1	ceRNA or sponge	ZC3H12A
TCONS_00023297	ceRNA or sponge	MIR608
LINC02200	interact with protein	NFKB1
NKILA	interact with protein	IkBalpha
ADAMTS9-AS2	expression association	ADAMTS9
TONSL-AS1	ceRNA or sponge	MIR197
LINC00922	epigenetic regulation	LZTS1
SLCO4A1-AS1	ceRNA or sponge	SLCO4A1
ENST00000437781.1	expression association	SIX4
ZEB1-AS1	ceRNA or sponge	ETS1
LUCAT1	expression association	CDK4
LUCAT1	expression association	CCND1
LUCAT1	interact with protein	AKT1
LUCAT1	interact with protein	MAPK
SNHG3	ceRNA or sponge	ERG
DRAIC	ceRNA or sponge	SLBP
GAS5	expression association	DDIT3
CRNDE	ceRNA or sponge	NASP
miR-135a	transcriptional regulation	TONSL-AS1
METTL14	transcriptional regulation	HCG11
HCG11	transcriptional regulation	LATS1
HCG11	transcriptional regulation	IGF2BP2
SNHG1	interact with protein	STAT6
LINC00968	ceRNA or sponge	CDC14A
XIST	ceRNA or sponge	GDF2
LUADT1	ceRNA or sponge	TRIM11
RP1-86C11.7	ceRNA or sponge	TFRC
LINC01089	ceRNA or sponge	HPDG
YY1	transcriptional regulation	LINC01089
CYTOR	ceRNA or sponge	PTMA
JPX	transcriptional regulation	MYC
JPX	transcriptional regulation	AXIN2
JPX	transcriptional regulation	Cyclin D1
HCG11	ceRNA or sponge	PDK4
FEZF1-AS1	ceRNA or sponge	NOB1
MEG3	transcriptional regulation	CDKN1A
MEG3	transcriptional regulation	BCL2L1
HOXA-AS2	transcriptional regulation	EZH2
EZH2	transcriptional regulation	H19
SNHG7	transcriptional regulation	miR-485-5p
DUXAP8	ceRNA or sponge	ZNF277
YY1	transcriptional regulation	GAS5
GAS5	interact with protein	TP53
ALMS1-IT1	transcriptional regulation	RELA
